start_of_day;status;status_info
1740376800.0;0;0
1739944800.0;0;0
1739858400.0;0;0
1739772000.0;0;0
1739685600.0;0;0
1739599200.0;0;0
1739512800.0;0;0
1739426400.0;0;0
1739340000.0;0;0
1739253600.0;0;0
1739167200.0;0;0
1739080800.0;0;0
1738994400.0;0;0
1738908000.0;0;0
1738821600.0;0;0
1738735200.0;0;0
1738648800.0;0;0
1738562400.0;0;0
1738476000.0;1;0
1738389600.0;0;0
1738303200.0;0;0
1738216800.0;0;0
1738130400.0;0;0
1738044000.0;0;0
1737957600.0;0;0
1737871200.0;0;0
1737784800.0;1;0
1737698400.0;0;0
1737612000.0;0;0
1737525600.0;0;0
1737439200.0;0;0
1737352800.0;0;0
1737266400.0;0;0
1737180000.0;0;0
1737093600.0;0;0
1737007200.0;0;0
1736920800.0;1;0
1736834400.0;1;0
1736748000.0;1;0
1736661600.0;0;0
1736575200.0;0;0
1736488800.0;1;0
1736402400.0;1;0
1736316000.0;1;0
1736229600.0;1;0
1736143200.0;1;0
1736056800.0;0;0
1735970400.0;0;0
1735884000.0;1;0
1735797600.0;0;0
1735711200.0;1;0
